Report datetime           , Boot time                 , Memory usage_Total, Memory usage_Available, Memory usage_Used, Memory usage_Percentage
                          ,                           ,                   ,                       ,                  , 
2021-04-26 09:19:01.214034, 2021-04-25 10:17:54.214035, 15.88GB           , 6.22GB                , 9.66GB           , 60.8
                          ,                           ,                   ,                       ,                  , 
2021-04-28 05:25:05.998265, 2021-04-27 19:19:53.998265, 15.88GB           , 2.71GB                , 13.17GB          , 82.9
                          ,                           ,                   ,                       ,                  , 
2021-04-28 05:25:09.014465, 2021-04-27 19:19:53.998265, 15.88GB           , 2.70GB                , 13.19GB          , 83.0
                          ,                           ,                   ,                       ,                  , 
2021-04-28 05:25:12.024464, 2021-04-27 19:19:53.998265, 15.88GB           , 2.70GB                , 13.18GB          , 83.0
                          ,                           ,                   ,                       ,                  , 
2021-04-28 05:25:15.034597, 2021-04-27 19:19:53.998265, 15.88GB           , 2.76GB                , 13.12GB          , 82.6

